magnetizability:V Temperature:K Current:A 
 1.2932e-01  369.390 1858.2
 1.2982e-01  369.440 1858.5
 1.2837e-01  369.440 1858.8
 1.2864e-01  369.490 1859.1
 1.2874e-01  369.520 1859.4
 1.2741e-01  369.520 1859.8
 1.2778e-01  369.570 1860.1
 1.2762e-01  369.570 1860.4
 1.2637e-01  369.600 1860.7
 1.2684e-01  369.650 1861.0
 1.2655e-01  369.650 1861.4
 1.2545e-01  369.700 1861.7
 1.2598e-01  369.700 1862.0
 1.2528e-01  369.730 1862.3
 1.2423e-01  369.780 1862.7
 1.2508e-01  369.780 1863.0
 1.2407e-01  369.800 1863.3
 1.2322e-01  369.800 1863.6
 1.2393e-01  369.860 1863.9
 1.2307e-01  369.880 1864.3
 1.2230e-01  369.880 1864.6
 1.2304e-01  369.930 1864.9
 1.2230e-01  369.930 1865.2
 1.2173e-01  369.960 1865.5
 1.2207e-01  370.010 1865.8
 1.2112e-01  370.010 1866.2
 1.2159e-01  370.040 1866.5
 1.2100e-01  370.040 1866.8
 1.1995e-01  370.090 1867.2
 1.2059e-01  370.120 1867.4
 1.1986e-01  370.120 1867.8
 1.1926e-01  370.170 1868.1
 1.1974e-01  370.170 1868.4
 1.1875e-01  370.190 1868.7
 1.1880e-01  370.250 1869.0
 1.1893e-01  370.250 1869.4
 1.1774e-01  370.270 1869.7
 1.1818e-01  370.270 1870.0
 1.1798e-01  370.300 1870.3
 1.1668e-01  370.320 1870.6
 1.1734e-01  370.320 1871.0
 1.1700e-01  370.380 1871.3
 1.1615e-01  370.380 1871.6
 1.1660e-01  370.400 1871.9
 1.1572e-01  370.430 1872.2
 1.1543e-01  370.430 1872.6
 1.1568e-01  370.480 1872.9
 1.1453e-01  370.480 1873.2
 1.1474e-01  370.510 1873.5
 1.1471e-01  370.530 1873.8
 1.1372e-01  370.530 1874.2
 1.1420e-01  370.560 1874.5
 1.1416e-01  370.560 1874.8
 1.1284e-01  370.580 1875.2
 1.1315e-01  370.640 1875.4
 1.1340e-01  370.640 1875.8
 1.1220e-01  370.660 1876.1
 1.1273e-01  370.660 1876.4
 1.1256e-01  370.690 1876.8
 1.1126e-01  370.710 1877.1
 1.1178e-01  370.710 1877.4
 1.1124e-01  370.740 1877.7
 1.1037e-01  370.740 1878.0
 1.1107e-01  370.770 1878.4
 1.0997e-01  370.790 1878.7
 1.0992e-01  370.790 1879.0
 1.1041e-01  370.820 1879.3
 1.0931e-01  370.820 1879.6
 1.0912e-01  370.840 1880.0
 1.0946e-01  370.870 1880.3
 1.0817e-01  370.870 1880.6
 1.0858e-01  370.900 1880.9
 1.0871e-01  370.900 1881.2
 1.0757e-01  370.920 1881.6
 1.0813e-01  370.950 1881.9
 1.0767e-01  370.950 1882.2
 1.0697e-01  370.970 1882.5
 1.0745e-01  370.970 1882.8
 1.0673e-01  371.000 1883.2
 1.0632e-01  371.030 1883.5
 1.0669e-01  371.030 1883.8
 1.0590e-01  371.050 1884.1
 1.0590e-01  371.050 1884.4
 1.0618e-01  371.080 1884.8
 1.0493e-01  371.100 1885.1
 1.0542e-01  371.100 1885.4
 1.0568e-01  371.130 1885.7
 1.0445e-01  371.130 1886.0
 1.0500e-01  371.130 1886.3
 1.0484e-01  371.150 1886.7
 1.0387e-01  371.150 1887.0
 1.0457e-01  371.180 1887.3
 1.0406e-01  371.180 1887.6
 1.0355e-01  371.210 1888.0
 1.0388e-01  371.230 1888.3
 1.0320e-01  371.230 1888.6
 1.0320e-01  371.260 1888.9
 1.0326e-01  371.260 1889.2
 1.0245e-01  371.260 1889.5
 1.0277e-01  371.280 1889.9
 1.0281e-01  371.280 1890.2
 1.0206e-01  371.310 1890.5
 1.0264e-01  371.310 1890.8
 1.0212e-01  371.340 1891.2
 1.0206e-01  371.340 1891.4
 1.0205e-01  371.340 1891.8
 1.0116e-01  371.360 1892.1
 1.0171e-01  371.360 1892.4
 1.0158e-01  371.360 1892.7
 1.0090e-01  371.390 1893.1
 1.0135e-01  371.390 1893.4
 1.0053e-01  371.410 1893.7
 1.0034e-01  371.410 1894.0
 1.0061e-01  371.410 1894.3
 9.9950e-02  371.440 1894.7
 1.0034e-01  371.440 1895.0
 1.0023e-01  371.440 1895.3
 9.9540e-02  371.440 1895.6
 1.0013e-01  371.470 1896.0
 9.9270e-02  371.470 1896.3
 9.9280e-02  371.470 1896.6
 9.9530e-02  371.490 1896.9
 9.8510e-02  371.490 1897.2
 9.8690e-02  371.490 1897.5
 9.8790e-02  371.490 1897.8
 9.7940e-02  371.490 1898.2
 9.8420e-02  371.520 1898.5
 9.8190e-02  371.520 1898.8
 9.7560e-02  371.520 1899.2
 9.8250e-02  371.540 1899.5
 9.7650e-02  371.540 1899.8
 9.7490e-02  371.540 1900.1
 9.8030e-02  371.540 1900.4
 9.7170e-02  371.540 1900.8
 9.7110e-02  371.570 1901.1
 9.7380e-02  371.570 1901.4
 9.6480e-02  371.570 1901.7
 9.6800e-02  371.570 1902.0
 9.6440e-02  371.570 1902.3
 9.6010e-02  371.600 1902.7
 9.6460e-02  371.600 1903.0
 9.5930e-02  371.600 1903.3
 9.5890e-02  371.600 1903.6
 9.6130e-02  371.600 1903.9
 9.5210e-02  371.620 1904.3
 9.5580e-02  371.620 1904.6
 9.5520e-02  371.620 1904.9
 9.4910e-02  371.620 1905.2
 9.5210e-02  371.620 1905.5
 9.4900e-02  371.620 1905.9
 9.4950e-02  371.620 1906.2
 9.5160e-02  371.620 1906.5
 9.4230e-02  371.620 1906.8
 9.4650e-02  371.650 1907.2
 9.4670e-02  371.650 1907.4
 9.4030e-02  371.650 1907.8
 9.4360e-02  371.650 1908.1
 9.3810e-02  371.650 1908.4
 9.3940e-02  371.650 1908.7
 9.4010e-02  371.650 1909.0
 9.3280e-02  371.650 1909.4
 9.3810e-02  371.650 1909.7
 9.3700e-02  371.650 1910.0
 9.3240e-02  371.650 1910.3
 9.3540e-02  371.650 1910.6
 9.3160e-02  371.650 1911.0
 9.3270e-02  371.650 1911.3
 9.3360e-02  371.650 1911.6
 9.2760e-02  371.670 1912.0
 9.3130e-02  371.650 1912.2
 9.3190e-02  371.650 1912.6
 9.2460e-02  371.650 1912.9
 9.2910e-02  371.650 1913.2
 9.2670e-02  371.650 1913.5
 9.2140e-02  371.650 1913.9
 9.2600e-02  371.650 1914.2
 9.2160e-02  371.650 1914.5
 9.2500e-02  371.650 1914.8
 9.2290e-02  371.650 1915.1
 9.2000e-02  371.650 1915.5
 9.2520e-02  371.650 1915.8
 9.2050e-02  371.650 1916.1
 9.1910e-02  371.650 1916.4
 9.2210e-02  371.650 1916.7
 9.1550e-02  371.650 1917.1
 9.1890e-02  371.650 1917.4
 9.1590e-02  371.620 1917.7
 9.1210e-02  371.620 1918.0
 9.1710e-02  371.620 1918.3
 9.1080e-02  371.620 1918.7
 9.1260e-02  371.620 1919.0
 9.1760e-02  371.620 1919.3
 9.1070e-02  371.620 1919.6
 9.1450e-02  371.620 1919.9
 9.1140e-02  371.600 1920.2
 9.0680e-02  371.600 1920.6
 9.1100e-02  371.600 1920.9
 9.0680e-02  371.600 1921.2
 9.0780e-02  371.600 1921.5
 9.0980e-02  371.570 1921.8
 9.0310e-02  371.570 1922.2
 9.0950e-02  371.570 1922.5
 9.0670e-02  371.570 1922.8
 9.0310e-02  371.570 1923.1
 9.0920e-02  371.540 1923.4
 9.0510e-02  371.540 1923.8
 9.0330e-02  371.540 1924.1
 9.0910e-02  371.540 1924.4
 9.0310e-02  371.520 1924.7
 9.0180e-02  371.520 1925.1
 9.0680e-02  371.520 1925.4
 9.0140e-02  371.520 1925.7
 9.0310e-02  371.520 1926.0
 9.0300e-02  371.490 1926.3
 8.9690e-02  371.490 1926.7
 9.0050e-02  371.490 1927.0
 8.9700e-02  371.470 1927.3
 8.9460e-02  371.470 1927.6
 9.0080e-02  371.470 1927.9
 8.9480e-02  371.440 1928.2
 8.9390e-02  371.440 1928.6
 8.9710e-02  371.440 1928.9
 8.9090e-02  371.440 1929.2
 8.9620e-02  371.410 1929.5
 8.9650e-02  371.410 1929.8
 8.9160e-02  371.410 1930.2
 8.9500e-02  371.390 1930.5
 8.9460e-02  371.390 1930.8
 8.8900e-02  371.360 1931.1
 8.9440e-02  371.360 1931.4
 8.9320e-02  371.360 1931.8
 8.9110e-02  371.340 1932.1
 8.9530e-02  371.340 1932.4
 8.8950e-02  371.310 1932.7
 8.9050e-02  371.310 1933.0
 8.9350e-02  371.310 1933.4
 8.8700e-02  371.280 1933.7
 8.9170e-02  371.280 1934.0
 8.8960e-02  371.280 1934.3
 8.8620e-02  371.260 1934.7
 8.9190e-02  371.260 1935.0
 8.8630e-02  371.230 1935.3
 8.8470e-02  371.230 1935.6
