1	178.67
2	182.36
3	183.59
4	185.11
5	186.74
6	188.37
7	188.43
8	188.93
9	190.30
10	190.90
11	192.12
12	192.70
13	193.72
14	194.22
15	195.20
16	195.65
-1	170.53
-2	166.98
-3	165.78
-4	163.58
-5	162.76
-6	161.00
-7	160.96
-8	160.25
-9	158.87
-10	158.26
-11	157.15
-12	156.50
-13	155.00
-14	155.54
-15	153.90
-16	153.56
