Current, mA	Voltage, V
0.4760742	-0.0000001
0.9521484	-0.0000112
7.4282227	0.0002175
7.9042969	0.0002610
8.3803711	0.0002717
8.8564453	0.0003479
9.3325195	0.0003477
9.8085937	0.0003040
10.2846680	0.0004237
10.7607422	0.0004454
11.2368164	0.0004670
11.7128906	0.0005323
12.1889648	0.0005539
12.6650391	0.0005974
13.1411133	0.0006408
13.6171875	0.0007169
14.0932617	0.0007931
14.5693359	0.0008038
15.0454102	0.0008473
15.5214844	0.0008798
15.9975586	0.0009015
16.4736328	0.0009994
16.9497070	0.0010538
17.4257812	0.0011190
17.9018555	0.0011734
18.3779297	0.0012495
18.8540039	0.0012820
19.3300781	0.0013909
19.8061523	0.0014452
20.2822266	0.0015650
20.7583008	0.0018591
21.2343750	0.0045837
21.7104492	0.0146980
22.1865234	0.0252264
22.6625977	0.0358093
23.1386719	0.0463486
23.6147461	0.0569315
24.0908203	0.0675253
24.5668945	0.0780211
25.0429687	0.0886258
25.5190430	0.0991106
25.9951172	0.1098025
26.4711914	0.1202110
26.9472656	0.1307721
27.4233398	0.1413114
27.8994141	0.1518181
28.3754883	0.1624119
28.8515625	0.1728531
29.3276367	0.1833815
29.8037109	0.1938663
30.2797852	0.2043729
30.7558594	0.2148033
31.2319336	0.2253644
31.7080078	0.2358056
32.1840820	0.2462141
32.6601562	0.2566553
33.1362305	0.2670966
33.6123047	0.2775378
34.0883789	0.2879136
34.5644531	0.2983548
35.0405273	0.3088069
35.5166016	0.3190956
35.9926758	0.3294605
36.4687500	0.3398254
36.9448242	0.3501468
37.4208984	0.3604463
37.8969727	0.3707240
38.3730469	0.3809582
38.8491211	0.3912359
39.3251953	0.4015354
39.8012695	0.4117587
40.2773437	0.4220255
40.7534180	0.4322269
41.2294922	0.4424938
41.7055664	0.4526080
42.1816406	0.4627986
42.6577148	0.4728365
43.1337891	0.4831579
43.6098633	0.4932612
44.0859375	0.5033319
44.5620117	0.5135333
45.0380859	0.5235277
45.5141602	0.5336092
45.9902344	0.5437452
46.4663086	0.5537396
46.9423828	0.5638321
47.4184570	0.5737392
47.8945312	0.5837990
48.3706055	0.5937933
48.8466797	0.6037659
6.0000000	0.0045422
0.0000000	0.0003350
0.0000000	0.0001604
0.0000000	0.0000840
0.0000000	0.0000293
0.0000000	0.0000292
0.0000000	0.0000072
0.0000000	0.0000507
0.0000000	-0.0000039
0.0000000	0.0000286
0.0000000	-0.0000042
0.0000000	-0.0000153
0.0000000	0.0000172
0.0000000	0.0000389
0.0000000	-0.0000375
0.0000000	0.0000277
0.0000000	-0.0000160
0.0000000	-0.0000053
0.0000000	-0.0000054
