Current, mA	Voltage, V
0.4760742	0.0000106
0.9521484	0.0000212
7.4282227	0.0002280
7.9042969	0.0002386
8.3803711	0.0002819
8.8564453	0.0003252
9.3325195	0.0002814
9.8085937	0.0003138
10.2846680	0.0003135
10.7607422	0.0003786
11.2368164	0.0004219
11.7128906	0.0004107
12.1889648	0.0004758
12.6650391	0.0005409
13.1411133	0.0005624
13.6171875	0.0005731
14.0932617	0.0006491
14.5693359	0.0006488
15.0454102	0.0006267
15.5214844	0.0007354
15.9975586	0.0007569
16.4736328	0.0008002
16.9497070	0.0008108
17.4257812	0.0008868
17.9018555	0.0008865
18.3779297	0.0009516
18.8540039	0.0009950
19.3300781	0.0010928
19.8061523	0.0011143
20.2822266	0.0011249
20.7583008	0.0012336
21.2343750	0.0012442
21.7104492	0.0012984
22.1865234	0.0013308
22.6625977	0.0014177
23.1386719	0.0015155
23.6147461	0.0015915
24.0908203	0.0017111
24.5668945	0.0020596
25.0429687	0.0048277
25.5190430	0.0143860
25.9951172	0.0243693
26.4711914	0.0343635
26.9472656	0.0444122
27.4233398	0.0542866
27.8994141	0.0643135
28.3754883	0.0742314
28.8515625	0.0842801
29.3276367	0.0941871
29.8037109	0.1042032
30.2797852	0.1141211
30.7558594	0.1240935
31.2319336	0.1340005
31.7080078	0.1439076
32.1840820	0.1538146
32.6601562	0.1637543
33.1362305	0.1735959
33.6123047	0.1835248
34.0883789	0.1934318
34.5644531	0.2033279
35.0405273	0.2130497
35.5166016	0.2229676
35.9926758	0.2327329
36.4687500	0.2426181
36.9448242	0.2524053
37.4208984	0.2622251
37.8969727	0.2719360
38.3730469	0.2817231
38.8491211	0.2915211
39.3251953	0.3012102
39.8012695	0.3108883
40.2773437	0.3207299
40.7534180	0.3303863
41.2294922	0.3401189
41.7055664	0.3497753
42.1816406	0.3593662
42.6577148	0.3689790
43.1337891	0.3786462
43.6098633	0.3882045
44.0859375	0.3978063
44.5620117	0.4073210
45.0380859	0.4169555
45.5141602	0.4265029
45.9902344	0.4360720
46.4663086	0.4455104
46.9423828	0.4549815
47.4184570	0.4645724
47.8945312	0.4740980
48.3706055	0.4834491
48.8466797	0.4928875
6.0000000	0.0037231
0.0000000	0.0002678
0.0000000	0.0001041
0.0000000	0.0000384
0.0000000	-0.0000055
0.0000000	0.0000923
0.0000000	0.0000702
0.0000000	0.0000045
0.0000000	0.0000478
0.0000000	-0.0000505
0.0000000	-0.0000072
0.0000000	-0.0000293
0.0000000	-0.0000405
0.0000000	-0.0000408
0.0000000	0.0000570
0.0000000	0.0000894
0.0000000	-0.0000199
0.0000000	-0.0000092
0.0000000	0.0000014
