Current, mA	Voltage, V
0.4760742	-0.0000113
0.9521484	0.0000428
7.4282227	0.0007182
7.9042969	0.0008159
8.3803711	0.0009027
8.8564453	0.0010658
9.3325195	0.0011962
9.8085937	0.0015010
10.2846680	0.0065687
10.7607422	0.0190478
11.2368164	0.0314833
11.7128906	0.0439734
12.1889648	0.0564852
12.6650391	0.0689752
13.1411133	0.0815088
13.6171875	0.0941078
14.0932617	0.1066088
14.5693359	0.1191206
15.0454102	0.1316542
15.5214844	0.1442641
15.9975586	0.1567432
16.4736328	0.1693204
16.9497070	0.1818541
17.4257812	0.1943877
17.9018555	0.2069867
18.3779297	0.2195312
18.8540039	0.2320648
19.3300781	0.2446311
19.8061523	0.2571430
20.2822266	0.2696984
20.7583008	0.2822538
21.2343750	0.2946784
21.7104492	0.3073210
22.1865234	0.3197456
22.6625977	0.3322030
23.1386719	0.3447039
23.6147461	0.3571285
24.0908203	0.3697711
24.5668945	0.3822067
25.0429687	0.3945768
25.5190430	0.4070668
25.9951172	0.4196113
26.4711914	0.4318943
26.9472656	0.4443625
27.4233398	0.4567435
27.8994141	0.4691899
28.3754883	0.4815601
28.8515625	0.4939084
29.3276367	0.5063112
29.8037109	0.5186596
30.2797852	0.5310079
30.7558594	0.5432472
31.2319336	0.5556065
31.7080078	0.5679112
32.1840820	0.5801832
32.6601562	0.5924117
33.1362305	0.6046946
33.6123047	0.6169885
34.0883789	0.6291515
34.5644531	0.6413908
35.0405273	0.6535539
35.5166016	0.6657496
35.9926758	0.6779563
36.4687500	0.6901302
36.9448242	0.7022388
37.4208984	0.7143582
37.8969727	0.7265649
38.3730469	0.7386407
38.8491211	0.7507711
39.3251953	0.7628687
39.8012695	0.7749228
40.2773437	0.7870095
40.7534180	0.7990527
41.2294922	0.8110741
41.7055664	0.8230627
42.1816406	0.8349424
42.6577148	0.8469093
43.1337891	0.8588216
43.6098633	0.8707667
44.0859375	0.8826246
44.5620117	0.8945478
45.0380859	0.9063948
45.5141602	0.9182200
45.9902344	0.9301105
46.4663086	0.9419466
46.9423828	0.9538263
47.4184570	0.9656624
47.8945312	0.9774439
48.3706055	0.9892037
48.8466797	1.0009962
6.0000000	0.0080737
0.0000000	0.0005529
0.0000000	0.0002255
0.0000000	0.0001707
0.0000000	0.0000613
0.0000000	0.0001154
0.0000000	0.0001368
0.0000000	0.0000492
0.0000000	0.0000488
0.0000000	0.0000484
0.0000000	-0.0000282
0.0000000	-0.0000068
0.0000000	-0.0000072
0.0000000	-0.0000076
0.0000000	0.0000465
0.0000000	-0.0000084
0.0000000	0.0000457
0.0000000	-0.0000309
0.0000000	-0.0000204
