Current, mA	Voltage, V
0.4760742	0.0000212
0.9521484	0.0000643
7.4282227	0.0002272
7.9042969	0.0001613
8.3803711	0.0002588
8.8564453	0.0002583
9.3325195	0.0002904
9.8085937	0.0002572
10.2846680	0.0002784
10.7607422	0.0003542
11.2368164	0.0002228
11.7128906	0.0003640
12.1889648	0.0004397
12.6650391	0.0003738
13.1411133	0.0003841
13.6171875	0.0004708
14.0932617	0.0003830
14.5693359	0.0003934
15.0454102	0.0004909
15.5214844	0.0004577
15.9975586	0.0004789
16.4736328	0.0005111
16.9497070	0.0006631
17.4257812	0.0006081
17.9018555	0.0006402
18.3779297	0.0006288
18.8540039	0.0007154
19.3300781	0.0007148
19.8061523	0.0007470
20.2822266	0.0008336
20.7583008	0.0007786
21.2343750	0.0007780
21.7104492	0.0008102
22.1865234	0.0008532
22.6625977	0.0009290
23.1386719	0.0009284
23.6147461	0.0009933
24.0908203	0.0010254
24.5668945	0.0010467
25.0429687	0.0010679
25.5190430	0.0010238
25.9951172	0.0011431
26.4711914	0.0011753
26.9472656	0.0011529
27.4233398	0.0012178
27.8994141	0.0012935
28.3754883	0.0013147
28.8515625	0.0012706
29.3276367	0.0014008
29.8037109	0.0014439
30.2797852	0.0014433
30.7558594	0.0015409
31.2319336	0.0015294
31.7080078	0.0015616
32.1840820	0.0015828
32.6601562	0.0017458
33.1362305	0.0017016
33.6123047	0.0018210
34.0883789	0.0018749
34.5644531	0.0020705
35.0405273	0.0022444
35.5166016	0.0033337
35.9926758	0.0089353
36.4687500	0.0173271
36.9448242	0.0258606
37.4208984	0.0344268
37.8969727	0.0428730
38.3730469	0.0514392
38.8491211	0.0599509
39.3251953	0.0684844
39.8012695	0.0768544
40.2773437	0.0854532
40.7534180	0.0938995
41.2294922	0.1023676
41.7055664	0.1107594
42.1816406	0.1192056
42.6577148	0.1276083
43.1337891	0.1360982
43.6098633	0.1444900
44.0859375	0.1528818
44.5620117	0.1611646
45.0380859	0.1695018
45.5141602	0.1779699
45.9902344	0.1862745
46.4663086	0.1945682
46.9423828	0.2028946
47.4184570	0.2112428
47.8945312	0.2194493
48.3706055	0.2277866
48.8466797	0.2359931
6.0000000	0.0017265
0.0000000	0.0001129
0.0000000	0.0001232
0.0000000	0.0000028
0.0000000	-0.0000304
0.0000000	0.0000780
0.0000000	0.0000447
0.0000000	-0.0000103
0.0000000	-0.0000108
0.0000000	0.0000322
0.0000000	-0.0000119
0.0000000	0.0000638
0.0000000	-0.0000348
0.0000000	0.0000082
0.0000000	-0.0000250
0.0000000	-0.0000256
0.0000000	-0.0000152
0.0000000	-0.0000049
0.0000000	0.0000490
