Current, mA	Voltage, V
0.8422852	0.0000324
1.6845703	0.0000538
8.5268555	0.0001734
9.3691406	0.0001185
10.2114258	0.0002054
11.0537109	0.0002596
11.8959961	0.0001720
12.7382812	0.0002480
13.5805664	0.0003239
14.4228516	0.0002473
15.2651367	0.0002797
16.1074219	0.0003556
16.9497070	0.0003989
17.7919922	0.0003876
18.6342773	0.0004200
19.4765625	0.0004633
20.3188477	0.0004847
21.1611328	0.0004844
22.0034180	0.0005276
22.8457031	0.0005164
23.6879883	0.0006142
24.5302734	0.0006574
25.3725586	0.0007007
26.2148437	0.0006349
27.0571289	0.0007763
27.8994141	0.0007760
28.7416992	0.0007865
29.5839844	0.0008516
30.4262695	0.0009275
31.2685547	0.0008945
32.1108398	0.0008942
32.9531250	0.0010355
33.7954102	0.0010352
34.6376953	0.0010130
35.4799805	0.0011653
36.3222656	0.0011759
37.1645508	0.0011864
38.0068359	0.0012515
38.8491211	0.0012511
39.6914062	0.0013380
40.5336914	0.0013704
41.3759766	0.0014027
42.2182617	0.0014896
43.0605469	0.0015001
43.9028320	0.0015761
44.7451172	0.0016302
45.5874023	0.0016517
46.4296875	0.0017277
47.2719727	0.0016946
48.1142578	0.0017924
48.9565430	0.0019119
49.7988281	0.0019225
50.6411133	0.0019876
51.4833984	0.0020744
52.3256836	0.0022158
53.1679687	0.0023571
54.0102539	0.0027818
54.8525391	0.0043292
55.6948242	0.0129937
56.5371094	0.0248734
57.3793945	0.0366659
58.2216797	0.0485892
59.0639648	0.0603164
59.9062500	0.0720217
60.7485352	0.0836398
61.5908203	0.0952689
62.4331055	0.1068216
63.2753906	0.1183635
64.1176758	0.1297200
64.9599609	0.1410439
65.8022461	0.1523350
66.6445312	0.1634954
67.4868164	0.1746994
68.3291016	0.1856745
69.1713867	0.1966823
70.0136719	0.2076574
70.8559570	0.2184363
71.6982422	0.2291825
72.5405273	0.2398960
73.3828125	0.2504678
74.2250977	0.2608980
75.0673828	0.2713935
75.9096680	0.2815838
76.7519531	0.2917524
77.5942383	0.3018120
78.4365234	0.3118061
79.2788086	0.3216804
80.1210937	0.3316092
80.9633789	0.3414399
81.8056641	0.3510853
6.0000000	0.0025524
0.0000000	0.0001978
0.0000000	0.0000558
0.0000000	-0.0000426
0.0000000	0.0000115
0.0000000	0.0000112
0.0000000	-0.0000327
0.0000000	0.0000105
0.0000000	-0.0000334
0.0000000	-0.0000119
0.0000000	0.0000095
0.0000000	-0.0000017
0.0000000	0.0000415
0.0000000	-0.0000351
0.0000000	0.0000191
0.0000000	-0.0000031
0.0000000	-0.0000470
0.0000000	0.0000180
0.0000000	0.0000177
