Current, mA	Voltage, V
0.4760742	-0.0000978
0.9521484	-0.0000758
7.4282227	0.0004258
7.9042969	0.0004370
8.3803711	0.0004917
8.8564453	0.0005574
9.3325195	0.0006339
9.8085937	0.0006341
10.2846680	0.0006998
10.7607422	0.0008744
11.2368164	0.0009510
11.7128906	0.0010493
12.1889648	0.0011695
12.6650391	0.0013223
13.1411133	0.0016604
13.6171875	0.0078296
14.0932617	0.0197317
14.5693359	0.0317210
15.0454102	0.0436558
15.5214844	0.0556342
15.9975586	0.0676671
16.4736328	0.0795583
16.9497070	0.0915476
17.4257812	0.1034715
17.9018555	0.1155480
18.3779297	0.1275155
18.8540039	0.1393958
19.3300781	0.1514287
19.8061523	0.1633308
20.2822266	0.1752656
20.7583008	0.1872440
21.2343750	0.1992442
21.7104492	0.2112008
22.1865234	0.2230484
22.6625977	0.2349723
23.1386719	0.2469180
23.6147461	0.2587983
24.0908203	0.2707113
24.5668945	0.2826025
25.0429687	0.2944828
25.5190430	0.3063740
25.9951172	0.3181454
26.4711914	0.3300366
26.9472656	0.3419387
27.4233398	0.3536882
27.8994141	0.3654922
28.3754883	0.3772526
28.8515625	0.3890566
29.3276367	0.4008170
29.8037109	0.4125557
30.2797852	0.4242943
30.7558594	0.4359457
31.2319336	0.4477606
31.7080078	0.4595428
32.1840820	0.4711289
32.6601562	0.4827694
33.1362305	0.4943881
33.6123047	0.5061158
34.0883789	0.5177128
34.5644531	0.5292661
35.0405273	0.5408739
35.5166016	0.5524927
35.9926758	0.5639588
36.4687500	0.5755121
36.9448242	0.5870982
37.4208984	0.5985861
37.8969727	0.6100086
38.3730469	0.6214857
38.8491211	0.6329518
39.3251953	0.6442981
39.8012695	0.6557642
40.2773437	0.6670887
40.7534180	0.6784022
41.2294922	0.6897594
41.7055664	0.7010402
42.1816406	0.7124519
42.6577148	0.7237000
43.1337891	0.7350027
43.6098633	0.7462835
44.0859375	0.7574554
44.5620117	0.7686273
45.0380859	0.7798318
45.5141602	0.7910037
45.9902344	0.8022191
46.4663086	0.8133038
46.9423828	0.8243885
47.4184570	0.8354840
47.8945312	0.8466123
48.3706055	0.8576752
48.8466797	0.8687381
6.0000000	0.0068129
0.0000000	0.0004372
0.0000000	0.0001976
0.0000000	0.0000998
0.0000000	0.0000564
0.0000000	0.0000676
0.0000000	0.0000133
0.0000000	0.0000463
0.0000000	0.0000247
0.0000000	0.0000468
0.0000000	0.0000252
0.0000000	0.0000582
0.0000000	0.0000366
0.0000000	-0.0000503
0.0000000	-0.0000173
0.0000000	0.0000265
0.0000000	-0.0000495
0.0000000	-0.0000057
0.0000000	-0.0000054
