Current, mA	Voltage, V
0.4760742	-0.0000434
0.9521484	-0.0000105
7.4282227	0.0005019
7.9042969	0.0005893
8.3803711	0.0006875
8.8564453	0.0008403
9.3325195	0.0008187
9.8085937	0.0009496
10.2846680	0.0010261
10.7607422	0.0012225
11.2368164	0.0013970
11.7128906	0.0049612
12.1889648	0.0172774
12.6650391	0.0296263
13.1411133	0.0419316
13.6171875	0.0544658
14.0932617	0.0669019
14.5693359	0.0792944
15.0454102	0.0917304
15.5214844	0.1041556
15.9975586	0.1166026
16.4736328	0.1290932
16.9497070	0.1414966
17.4257812	0.1540526
17.9018555	0.1664342
18.3779297	0.1788812
18.8540039	0.1914044
19.3300781	0.2038732
19.8061523	0.2162984
20.2822266	0.2286800
20.7583008	0.2411270
21.2343750	0.2536612
21.7104492	0.2660428
22.1865234	0.2784462
22.6625977	0.2909585
23.1386719	0.3034164
23.6147461	0.3157435
24.0908203	0.3281142
24.5668945	0.3405939
25.0429687	0.3529537
25.5190430	0.3653462
25.9951172	0.3777387
26.4711914	0.3901094
26.9472656	0.4024910
27.4233398	0.4147418
27.8994141	0.4271234
28.3754883	0.4394505
28.8515625	0.4517884
29.3276367	0.4640828
29.8037109	0.4763663
30.2797852	0.4886280
30.7558594	0.5009006
31.2319336	0.5131624
31.7080078	0.5254023
32.1840820	0.5376422
32.6601562	0.5497949
33.1362305	0.5620021
33.6123047	0.5741984
34.0883789	0.5862966
34.5644531	0.5984711
35.0405273	0.6106892
35.5166016	0.6228746
35.9926758	0.6349728
36.4687500	0.6470710
36.9448242	0.6591911
37.4208984	0.6711258
37.8969727	0.6832458
38.3730469	0.6953331
38.8491211	0.7072896
39.3251953	0.7192462
39.8012695	0.7312681
40.2773437	0.7433227
40.7534180	0.7552465
41.2294922	0.7672249
41.7055664	0.7792032
42.1816406	0.7911161
42.6577148	0.8028983
43.1337891	0.8147240
43.6098633	0.8266369
44.0859375	0.8385063
44.5620117	0.8502993
45.0380859	0.8620705
45.5141602	0.8738745
45.9902344	0.8856893
46.4663086	0.8974824
46.9423828	0.9091555
47.4184570	0.9208940
47.8945312	0.9325672
48.3706055	0.9440878
48.8466797	0.9558590
6.0000000	0.0075908
0.0000000	0.0004848
0.0000000	0.0002670
0.0000000	0.0002017
0.0000000	0.0001583
0.0000000	0.0000277
0.0000000	0.0000170
0.0000000	0.0000716
0.0000000	0.0000391
0.0000000	0.0000175
0.0000000	0.0000722
0.0000000	0.0000396
0.0000000	-0.0000583
0.0000000	-0.0000908
0.0000000	0.0000075
0.0000000	0.0000185
0.0000000	0.0000187
0.0000000	0.0000407
0.0000000	0.0000191
