Current, mA	Voltage, V
0.4760742	0.0000104
0.9521484	0.0000863
7.4282227	0.0009577
7.9042969	0.0010772
8.3803711	0.0012511
8.8564453	0.0027329
9.3325195	0.0148414
9.8085937	0.0276038
10.2846680	0.0403880
10.7607422	0.0531941
11.2368164	0.0660982
11.7128906	0.0789369
12.1889648	0.0919064
12.6650391	0.1047342
13.1411133	0.1175729
13.6171875	0.1305206
14.0932617	0.1434030
14.5693359	0.1562744
15.0454102	0.1691894
15.5214844	0.1820935
15.9975586	0.1949540
16.4736328	0.2079126
16.9497070	0.2206859
17.4257812	0.2336228
17.9018555	0.2465378
18.3779297	0.2594746
18.8540039	0.2722479
19.3300781	0.2851629
19.8061523	0.2980125
20.2822266	0.3107859
20.7583008	0.3236573
21.2343750	0.3365396
21.7104492	0.3494437
22.1865234	0.3623042
22.6625977	0.3750231
23.1386719	0.3877964
23.6147461	0.4005479
24.0908203	0.4133648
24.5668945	0.4261163
25.0429687	0.4389006
25.5190430	0.4515867
25.9951172	0.4643600
26.4711914	0.4771987
26.9472656	0.4898304
27.4233398	0.5025819
27.8994141	0.5152244
28.3754883	0.5278888
28.8515625	0.5405749
29.3276367	0.5531193
29.8037109	0.5658273
30.2797852	0.5783935
30.7558594	0.5910142
31.2319336	0.6036677
31.7080078	0.6162993
32.1840820	0.6287566
32.6601562	0.6412356
33.1362305	0.6538563
33.6123047	0.6663027
34.0883789	0.6788253
34.5644531	0.6912935
35.0405273	0.7037943
35.5166016	0.7162298
35.9926758	0.7286543
36.4687500	0.7410135
36.9448242	0.7534925
37.4208984	0.7657972
37.8969727	0.7781564
38.3730469	0.7905373
38.8491211	0.8028311
39.3251953	0.8151139
39.8012695	0.8273423
40.2773437	0.8396906
40.7534180	0.8519516
41.2294922	0.8641473
41.7055664	0.8763321
42.1816406	0.8885931
42.6577148	0.9007779
43.1337891	0.9129627
43.6098633	0.9250929
44.0859375	0.9372559
44.5620117	0.9493535
45.0380859	0.9614402
45.5141602	0.9734724
45.9902344	0.9855808
46.4663086	0.9975367
46.9423828	1.0096125
47.4184570	1.0215902
47.8945312	1.0336551
48.3706055	1.0455674
48.8466797	1.0574470
6.0000000	0.0086445
0.0000000	0.0005242
0.0000000	0.0003058
0.0000000	0.0001527
0.0000000	0.0000651
0.0000000	0.0001300
0.0000000	0.0000532
0.0000000	0.0000746
0.0000000	0.0000414
0.0000000	-0.0000135
0.0000000	0.0000405
0.0000000	-0.0000581
0.0000000	0.0000178
0.0000000	0.0000391
0.0000000	0.0000713
0.0000000	-0.0000272
0.0000000	-0.0000277
0.0000000	-0.0000063
0.0000000	0.0000041
