Current, mA	Voltage, V
0.4760742	0.0000320
0.9521484	0.0001076
7.4282227	0.0003794
7.9042969	0.0003569
8.3803711	0.0004434
8.8564453	0.0004209
9.3325195	0.0004530
9.8085937	0.0005068
10.2846680	0.0005606
10.7607422	0.0006144
11.2368164	0.0006137
11.7128906	0.0006893
12.1889648	0.0007431
12.6650391	0.0008078
13.1411133	0.0009161
13.6171875	0.0009917
14.0932617	0.0010237
14.5693359	0.0010448
15.0454102	0.0010660
15.5214844	0.0012288
15.9975586	0.0013044
16.4736328	0.0013037
16.9497070	0.0014883
17.4257812	0.0016511
17.9018555	0.0022825
18.3779297	0.0096279
18.8540039	0.0202865
19.3300781	0.0311850
19.8061523	0.0417564
20.2822266	0.0525677
20.7583008	0.0632809
21.2343750	0.0739722
21.7104492	0.0847617
22.1865234	0.0954639
22.6625977	0.1062861
23.1386719	0.1169448
23.6147461	0.1276797
24.0908203	0.1383275
24.5668945	0.1491170
25.0429687	0.1598628
25.5190430	0.1705106
25.9951172	0.1811692
26.4711914	0.1918715
26.9472656	0.2025629
27.4233398	0.2132542
27.8994141	0.2239674
28.3754883	0.2346261
28.8515625	0.2452629
29.3276367	0.2559543
29.8037109	0.2666348
30.2797852	0.2772498
30.7558594	0.2879194
31.2319336	0.2984909
31.7080078	0.3091386
32.1840820	0.3196883
32.6601562	0.3302489
33.1362305	0.3408313
33.6123047	0.3513591
34.0883789	0.3619306
34.5644531	0.3724803
35.0405273	0.3830518
35.5166016	0.3936123
35.9926758	0.4041184
36.4687500	0.4146354
36.9448242	0.4251306
37.4208984	0.4356040
37.8969727	0.4460882
38.3730469	0.4565943
38.8491211	0.4670023
39.3251953	0.4775084
39.8012695	0.4879600
40.2773437	0.4983897
40.7534180	0.5086451
41.2294922	0.5191403
41.7055664	0.5295265
42.1816406	0.5399236
42.6577148	0.5502553
43.1337891	0.5605761
43.6098633	0.5708642
44.0859375	0.5813158
44.5620117	0.5915494
45.0380859	0.6019138
45.5141602	0.6121038
45.9902344	0.6224464
46.4663086	0.6325274
46.9423828	0.6428046
47.4184570	0.6531036
47.8945312	0.6633372
48.3706055	0.6735817
48.8466797	0.6837935
6.0000000	0.0052126
0.0000000	0.0003400
0.0000000	0.0001976
0.0000000	0.0001425
0.0000000	0.0000546
0.0000000	0.0000648
0.0000000	0.0000314
0.0000000	0.0000743
0.0000000	-0.0000136
0.0000000	0.0000729
0.0000000	-0.0000258
0.0000000	0.0000171
0.0000000	-0.0000272
0.0000000	-0.0000061
0.0000000	-0.0000177
0.0000000	-0.0000075
0.0000000	0.0000136
0.0000000	-0.0000197
0.0000000	0.0000668
